"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"R8,R9,R16,R10,R19,R22,R24,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"0";;;
2;"U1";"DIP-28_W7.62mm_Socket";1;"ATmega328P-PU";;;
3;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
4;"SW2,SW1";"PinHeader_1x03_P2.54mm_Vertical";2;"SW_SPDT";;;
5;"Y1";"Resonator-2Pin_W10.0mm_H5.0mm";1;"16M";;;
6;"Q1";"TO-92_Inline_Wide";1;"BC337";;;
7;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"9V";;;
8;"J1,J10";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
10;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Barrel_Jack_Switch";;;
11;"J5,J6,J7";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Male";;;
12;"J8,J9";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05_Male";;;
13;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"2.2k";;;
14;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100k";;;
15;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10";;;
16;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1k";;;
17;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
18;"U2";"TO-220-3_Vertical";1;"L7805";;;
19;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10k";;;
20;"R11,R18,R12,R15,R17,R20,R21,R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"0";;;
21;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4001";;;
22;"R23";"R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal";1;"0";;;
23;"C5";"CP_Axial_L29.0mm_D13.0mm_P35.00mm_Horizontal";1;"2200u";;;
24;"C3";"CP_Radial_D4.0mm_P2.00mm";1;"47u";;;
25;"C4";"CP_Radial_D4.0mm_P2.00mm";1;"100u";;;
26;"C1,C2";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"22p";;;
27;"R7,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"0";;;
28;"R26";"R_Axial_DIN0309_L9.0mm_D3.2mm_P25.40mm_Horizontal";1;"0";;;
